Month,Year,PRODUCTS,TRADE,"Quantity (000 Metric Tonnes)","Value in Rupees (Crore)","Value in Dollars (Million US dollar)",date_updated
September,2022,LPG,Import,1448.22,7569.74,939.26,"2024-02-21 04:02:12"
September,2022,MS,Import,189.71,1395.29,172.96,"2024-02-21 04:02:12"
September,2022,Naphtha,Import,76.37,355.43,43.99,"2024-02-21 04:02:12"
September,2022,ATF,Import,,,,"2024-02-21 04:02:12"
September,2022,HSD,Import,1.67,14.53,1.81,"2024-02-21 04:02:12"
September,2022,"LOBS/ Lube oil",Import,133.13,1282.39,159.84,"2024-02-21 04:02:12"
September,2022,"Fuel Oil",Import,567.22,2178.97,272.23,"2024-02-21 04:02:12"
September,2022,Bitumen,Import,116.38,394.70,49.10,"2024-02-21 04:02:12"
September,2022,Petcoke,Import,539.09,1020.89,127.24,"2024-02-21 04:02:12"
September,2022,Others&,Import,89.16,646.21,80.55,"2024-02-21 04:02:12"
September,2022,"PRODUCT IMPORT*",Import,3160.95,14858.14,1846.97,"2024-02-21 04:02:12"
September,2022,"TOTAL IMPORT",Import,19933.16,110015.88,13674.28,"2024-02-21 04:02:12"
September,2022,LPG,Export,40.28,270.15,33.78,"2024-02-21 04:02:12"
September,2022,MS!,Export,671.69,4580.66,577.46,"2024-02-21 04:02:12"
September,2022,Naphtha$,Export,467.85,2331.02,290.80,"2024-02-21 04:02:12"
September,2022,ATF#,Export,689.20,5317.84,660.54,"2024-02-21 04:02:12"
